Year,Graduate Student,Postdoc,Non-Faculty Researcher
1979,357578,18101,2687
1980,367078,18399,3260
1981,375130,19634,3559
1982,382291,19363,4026
1983,390432,20712,4896
1984,394670,21535,5042
1985,404021,22387,5103
1986,415520,23721,4846
1987,421497,24881,4597
1988,424523,26123,4869
1989,434478,27932,4908
1990,452113,29565,5255
1991,471212,30865,5478
1992,493522,32747,5482
1993,504304,34322,6001
1994,504399,36377,6209
1995,499640,35926,6534
1996,494079,37107,6604
1997,487208,38481,6722
1998,485627,40086,7100
1999,493256,40800,7573
2000,493311,43115,7879
2001,509607,43311,7531
2002,540404,45034,7906
2003,567121,46728,8473
2004,574463,47240,9075
2005,582226,48555,9527
2006,597643,49343,10814
2007,619499,50840,10752
2008,631489,54164,13747
2009,631645,57805,14059
2010,632652,63439,21345
2011,626820,62639,21498
2012,627243,62851,21908
2013,633010,61942,22465
2014,666586,63593,23706
2015,685397,63861,25292
2016,684825,64712,25747
2017,649112,64733,28180
2018,668307,64783,29284
2019,690117,66247,30349
2020,697813,65681,29661