Year,Graduate Student,Postdoc
1980,13.7,35.4
1981,14.5,37.1
1982,17.7,37.4
1983,18.8,36.3
1984,19,37.1
1985,19.8,39.6
1986,21,40.8
1987,21.9,43.2
1988,22.9,44.8
1989,23.5,46.8
1990,23.7,48.9
1991,24,51
1992,23.1,51.8
1993,21.9,51.3
1994,21.1,50.6
1995,20.6,49.5
1996,20.8,50.4
1997,21.3,50.8
1998,22,50.8
1999,23.4,53.7
2000,26,54.9
2001,27.6,57.6
2002,28.3,56.3
2003,27.3,57.9
2004,26.3,57.3
2005,25.3,55.7
2006,25.3,57.1
2007,25.7,56.5
2008,26.6,54
2009,27.2,53.1
2010,27.5,52.5
2011,28.1,52.6
2012,29.3,52.5
2013,31.1,52.3
2014,34.1,52.7
2015,35.5,55
2016,36.3,53.9
2017,35.8,53.5
2018,34.4,54.3
2019,33.9,55.5
2020,30.2,54.5